user_id,name,is_paying
0,Kelly Williams,True
1,Tracy White,True
2,Christopher Thomas DVM,False
3,Tiffany Downs,False
4,Kristen Mclaughlin,False
5,Alex Brown,False
6,Katelyn Montoya,True
7,Kelsey Gilbert,True
8,Christina Bryant,False
9,Francisco Grimes MD,False
10,Casey Smith,False
11,Luis Wilcox,True
12,David Houston,True
13,Michael Calderon,True
14,Michael Johnson,True
15,Harry Dunn,False
16,Carmen Webster,False
17,Rebecca Liu,False
18,Samantha Owens,True
19,Jennifer Allen,False
20,Joseph Jennings,True
21,Alicia Wang,False
22,Mike Walker,False
23,Elizabeth Hernandez,False
24,Lisa Wallace,False
25,Allison Burns,False
26,Tonya Nichols,True
27,Kimberly Davis,True
28,Jill Washington,False
29,Donald Beck,False
30,Priscilla Neal,True
31,Pamela Taylor,True
32,Jaime Jacobs,False
33,Elizabeth Rogers,True
34,Jennifer Ryan,False
35,Lori Holland,False
36,Kevin Joseph,False
37,Darius Chapman,False
38,Donald Jensen,False
39,Joseph Cox,True
40,Jaclyn Richards,True
41,Michele Hays,False
42,Chad Jenkins,False
43,Jay Valdez,True
44,Vanessa Wiley,False
45,Mark Mcdaniel,False
46,Greg Rogers,True
47,Ana Washington,True
48,Robert Wright,False
49,Michele Silva,True
50,Rachel Brown,False
51,Dr. Kristen Stewart MD,False
52,William Morton,True
53,Andrew Clark,True
54,Steven Williamson,True
55,Angela Brown,True
56,Matthew English,False
57,Cynthia Mooney,False
58,Christine Ayers,False
59,Leah Conley,False
60,Natalie Wilkins,True
61,Daniel Mack,True
62,Kevin Burns,False
63,Gabriel Arnold,True
64,Christopher Diaz,True
65,Kimberly Roach,False
66,Breanna Carr,False
67,Katherine Mills,False
68,George Byrd,True
69,Alexander Lee,False
70,Kenneth Beasley,False
71,Tanya Buchanan MD,True
72,Eric Davis,False
73,Carmen Castro,True
74,Cynthia Watkins,False
75,Elizabeth Henderson,True
76,Phillip Yang,False
77,Bryan Martinez,True
78,Michelle Bailey,True
79,Mr. Andrew Stephens II,True
80,Thomas Brady,True
81,Adrian Kirby,True
82,Melissa Lee,False
83,Brian Henderson,True
84,Jennifer Moore,False
85,Derek Jones,False
86,Kenneth Fuller,False
87,Mark Mcdaniel,False
88,Cynthia Howard,True
89,Briana Kane,False
90,Cameron Davis,True
91,Rick Long,True
92,Richard Craig,True
93,Charles Willis,True
94,Kevin Lewis,True
95,Jason Duncan,False
96,Kelly Hart,True
97,Benjamin Bass,False
98,Randall Preston,False
99,Cody Williams,True
100,Kelsey Hancock,False
101,Kathleen Young,True
102,Matthew Harper,False
103,Robert Medina,False
104,Amanda Mueller,True
105,Karen Cross,False
106,Kimberly Smith,True
107,Richard Mcgrath,True
108,Tyler Johnson,False
109,Kevin Ward,False
110,Tracy Romero,False
111,Wendy Foster,False
112,Carolyn Baker,False
113,Ashley Brady,False
114,Nichole Smith,True
115,Barbara Joyce,True
116,Miss Pamela Leach,True
117,William Gonzalez,False
118,Adriana Ramos,True
119,Michelle Everett,True
120,Marissa Woods,True
121,Manuel Thompson,False
122,Tyler Hess,False
123,Kimberly Olson MD,True
124,Kimberly White,False
125,Julie Wood,False
126,Christy Reynolds,True
127,Joshua Thomas,False
128,Hayley Davis,False
129,Megan Murphy,True
130,Michelle Ford,False
131,Cynthia Harris,False
132,Susan Lopez,False
133,Tony Thomas,False
134,Amanda Howard,True
135,Terri Brown,False
136,Gilbert Jordan,False
137,Michele Finley,True
138,Julie Perez,True
139,Jason Mcgrath,True
140,Abigail Navarro,True
141,Kelli Bryant,True
142,Tabitha James,True
143,Edgar Perez,False
144,Bryan Payne,True
145,Susan Perez,False
146,Victoria Cantu,True
147,Audrey Wells,True
148,Amanda Daniels,False
149,Anita Martinez,True
150,Cody Rodriguez,False
151,Kristen Gray,False
152,Andrew Clayton,True
153,Amber Greer,True
154,Stephanie Levine,False
155,Cheryl Smith,False
156,Alyssa Allen,False
157,David Perez,True
158,Olivia Miller,True
159,James Matthews,False
160,Julie Lewis,True
161,Marc Harris,False
162,Jacob Baker,False
163,Jackson Davis,True
164,Frederick Hoover,False
165,Katie Jackson,True
166,Brandon Jordan,False
167,David Bell,True
168,Derrick Garrett,False
169,Tabitha Stephenson,False
170,Zachary Lawson,True
171,Stephen Black,True
172,Ms. Kristina Mendoza MD,True
173,Danielle Gray,False
174,Chase Quinn,True
175,Stacey Morris,False
176,Nicole Trujillo,False
177,Dana Norton,True
178,David Lewis,True
179,Daniel Klein,True
180,John Hart,False
